"Name","Instance ID","Role","Status"
"ecs-hako-production-i-08b9a4b75d75e347f","i-08b9a4b75d75e347f","ecs","running"
"ecs-hako-production-i-0931cedf728c8dcc9","i-0931cedf728c8dcc9","ecs","running"
"ecs-hako-production-i-09571e96355f7a68c","i-09571e96355f7a68c","ecs","running"
"ecs-hako-production-i-097aeb7b0929c96c2","i-097aeb7b0929c96c2","ecs","running"
"ecs-hako-production-i-0a1b78b8211e083d9","i-0a1b78b8211e083d9","ecs","running"
"ecs-hako-production-i-0c312949f6c86906b","i-0c312949f6c86906b","ecs","running"
"ecs-hako-production-i-0cfc9bd547833ef99","i-0cfc9bd547833ef99","ecs","running"
"ecs-hako-production-i-0e17e64eee3e66f4f","i-0e17e64eee3e66f4f","ecs","running"
"ecs-hako-production-i-0e9bff477a544518b","i-0e9bff477a544518b","ecs","running"
"ecs-hako-production-i-0ee21d95681b50bc0","i-0ee21d95681b50bc0","ecs","running"
"ecs-hako-redash-i-0710403a2cce9d9cc","i-0710403a2cce9d9cc","ecs","running"
"ecs-hako-redash-i-0c2b7c117be6028c6","i-0c2b7c117be6028c6","ecs","running"
"ecs-hako-redash-i-0c69376459662d8d9","i-0c69376459662d8d9","ecs","running"
"ecs-hako-test-i-0de05a3b487d6189c","i-0de05a3b487d6189c","ecs","running"
"fluentd-app-ubuntu-test-001","i-f7114478","base","stopped"
"fluentd-ecs-aggregator-001","i-068d2f4ec203b4307","fluentd-ecs-aggregator","running"
"fluentd-ecs-aggregator-002","i-0b61b3026392b6f7d","fluentd-ecs-aggregator","running"
"fproxy-financier-001","i-00b5d49cae3b1421e","fproxy-financier","running"
"fproxy-financier-002","i-0ec84eb249b841b81","fproxy-financier","running"
"fstaid-manager-001","i-03e781813d2f0321b","fstaid-manager","running"
"ghe-002","i-01d0a7738656bfca8","","running"
"informatica-agent-001","i-04092496e02763778","informatica-agent","running"
"informatica-agent-sandbox-001","i-03d20d6b425f3f4c7","informatica-agent","running"
"itkq-test-001","i-0703ddd9a554cdefd","base","stopped"
"itkq-test-002","i-04e4708a83e0a40b4","base","running"
"kvs-misc-internal-001","i-1d8e2092","kvs-misc-internal","running"
"mail-recv-dev-001","i-b9801dbf","mail-recv-dev","stopped"
"mail-up-dev-001","i-1f116318","mail-up","stopped"
"media-live-proxy-001","i-09ff44e1955e08935","media-live-proxy","running"
"mongo-misc-migration-001","i-0f4fdaece9012195d","mongo-misc","running"
"mongo-misc-migration-002","i-057ad466302c5d275","base","running"
"mongo-misc-slave-vpc-101","i-fc9eb90f","mongo-misc-slave","running"
"mongo-misc-vpc-001","i-6d70da6b","mongo-misc","running"
"mx-001","i-02bb02622a4991513","mx2","running"
"mx-002","i-08bb7378239e6a2aa","mx2","running"
"mx-career-001","i-00881d03","mx-mobile","stopped"
"mx-career-002","i-9f893a99","mx-mobile","stopped"
"mx-front-001","i-00326b1675db195fb","mx-front","running"
"mx-front-002","i-02cbcd33fc767b6d9","mx-front","running"
"mx-vpc-001","i-9bd78798","mx","running"
